hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date
Resort Hotel,0,80.0,2016,April,15,7,0.0,3.0,2,0.0,0.0,Undefined,,Groups,TA/TO,0,0,0,A,A,0,No Deposit,67,207,0,Transient-Party,68.0,0,0,Check-Out,2016-04-10,2016-04-07
Resort Hotel,1,33.0,2017,February,7,17,0.0,2.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,207,0,Transient,68.0,0,0,Canceled,2017-01-17,2017-02-17
City Hotel,0,70.0,2017,February,6,6,1.0,3.0,2,0.0,0.0,SC,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,74.8,0,1,Check-Out,2017-02-10,2017-02-06
City Hotel,0,64.0,2017,July,30,29,0.0,1.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,150.0,0,2,Check-Out,2017-07-30,2017-07-29
Resort Hotel,0,27.0,2017,April,16,19,0.0,1.0,2,0.0,0.0,BB,,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,14,251,0,Transient,95.0,0,1,Check-Out,2017-04-20,2017-04-19
Resort Hotel,1,346.0,2016,September,36,1,0.0,1.0,2,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,207,0,Transient,81.0,0,2,Canceled,2015-10-21,2016-09-01
City Hotel,0,11.0,2016,October,41,3,1.0,1.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,207,0,Transient,130.9,0,1,Check-Out,2016-10-05,2016-10-03
City Hotel,0,2.0,2016,January,4,21,0.0,1.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,79.0,0,1,Check-Out,2016-01-22,2016-01-21
Resort Hotel,1,34.0,2017,August,32,8,1.0,5.0,2,0.0,0.0,HB,,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,207,0,Transient,211.89000000000001,0,2,Canceled,2017-07-06,2017-08-08
City Hotel,0,13.0,2016,February,8,16,0.0,1.0,1,0.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,85.0,0,0,Check-Out,2016-02-17,2016-02-16
City Hotel,1,170.0,2016,August,32,3,2.0,5.0,2,1.0,0.0,BB,,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,207,0,Transient,114.75,0,2,Canceled,2016-04-20,2016-08-03
